,Title,Genre,Premiere,Runtime,IMDB Score,Language,Premiere Year
245,Baggio: The Divine Ponytail,Biopic,2021-05-26,92,6.2,Italian,2021
246,Below Zero,Drama,2021-01-29,106,6.2,Spanish,2021
247,Citation,Drama,2020-11-06,151,6.2,English,2020
248,Crazy Awesome Teachers,Comedy-drama,2020-08-17,101,6.2,Indonesian,2020
249,Have You Ever Seen Fireflies?,Comedy,2021-04-09,114,6.2,Turkish,2021
251,In the Shadow of the Moon,Thriller,2019-09-27,115,6.2,English,2019
252,Lost Bullet,Thriller,2020-06-19,92,6.2,French,2020
254,Offering to the Storm,Thriller,2020-07-24,139,6.2,Spanish,2020
255,Roxanne Roxanne,Biopic,2018-03-23,98,6.2,English,2018
256,Someone Great,Romantic comedy,2019-04-19,92,6.2,English,2019
258,The Land of Steady Habits,Drama,2018-09-14,98,6.2,English,2018
259,The Rachel Divide,Documentary,2018-04-27,104,6.2,English,2018
260,Voyuer ,Documentary,2017-12-01,95,6.2,English,2017
261,Win It All,Comedy,2017-04-07,88,6.2,English,2017
263,A Tale of Two Kitchens,Documentary,2019-05-22,30,6.3,English/Spanish,2019
264,Alex Strangelove,Romantic comedy,2018-06-08,99,6.3,English,2018
269,Concrete Cowboy,Drama,2021-04-02,111,6.3,English,2021
271,Get the Goat,Comedy,2021-03-18,97,6.3,Portuguese,2021
272,I Am Not an Easy Man,Romantic comedy,2018-04-13,98,6.3,French,2018
273,June & Kopi,Drama,2021-01-28,90,6.3,Indonesian,2021
274,Music Teacher,Drama,2019-04-19,101,6.3,Hindi,2019
275,Nail Bomber: Manhunt,Documentary,2021-05-26,72,6.3,English,2021
276,Notes for My Son,Drama,2020-11-24,83,6.3,Spanish,2020
277,Polar,Action,2019-01-25,118,6.3,English,2019
278,Porta dos Fundos: The Last Hangover,Comedy,2018-12-21,44,6.3,Portuguese,2018
284,The Forest of Love,Drama,2019-10-11,151,6.3,Japanese,2019
285,The Laundromat,Comedy-drama,2019-10-18,98,6.3,English,2019
286,The Legend of Cocaine Island,Documentary,2019-03-29,87,6.3,English,2019
287,The Outsider,Crime drama,2018-03-09,120,6.3,English/Japanese,2018
288,Time to Hunt,Thriller,2020-04-23,134,6.3,Korean,2020
289,To All the Boys: Always and Forever,Romantic comedy,2021-02-12,109,6.3,English,2021
290,Travis Scott: Look Mom I Can Fly,Documentary,2019-08-28,85,6.3,English,2019
291,Uncorked,Drama,2020-03-27,103,6.3,English,2020
292,Anelka: Misunderstood,Documentary,2020-08-05,94,6.4,French,2020
295,Birders,Documentary,2019-09-25,37,6.4,English/Spanish,2019
298,Fractured,Thriller,2019-10-11,100,6.4,English,2019
299,Irreplaceable You,Drama,2018-02-16,96,6.4,English,2018
300,Isi & Ossi,Romantic comedy,2020-02-14,113,6.4,German,2020
301,John Was Trying to Contact Aliens,Documentary,2020-08-20,16,6.4,English,2020
303,Murder to Mercy: The Cyntoia Brown Story,Documentary,2020-04-29,97,6.4,English,2020
304,My Own Man,Documentary,2014-12-13,81,6.4,English,2014
305,Nappily Ever After,Comedy-drama,2018-09-21,98,6.4,English,2018
307,Street Flow,Drama,2019-10-12,96,6.4,French,2019
308,Strong Island,Documentary,2017-09-15,107,6.4,English,2017
310,Take Your Pills,Documentary,2018-03-16,87,6.4,English,2018
311,The Heartbreak Club,Comedy-drama,2021-01-14,101,6.4,Indonesian,2021
312,The Mars Generation,Documentary,2017-05-05,97,6.4,English,2017
313,The Occupant,Thriller,2020-03-25,103,6.4,Spanish,2020
316,Two Catalonias,Documentary,2018-09-28,116,6.4,Spanish/Catalan,2018
317,Walk. Ride. Rodeo.,Drama,2019-03-08,99,6.4,English,2019
319,When We First Met,Romantic comedy,2018-02-09,97,6.4,English,2018
320,A 3 Minute Hug,Documentary,2019-10-28,28,6.5,English/Spanish,2019
322,All Together Now,Drama,2020-08-28,93,6.5,English,2020
324,Antoine Griezmann: The Making of a Legend,Documentary,2019-03-21,60,6.5,French,2019
326,Chadwick Boseman: Portrait of an Artist,Documentary,2021-04-17,21,6.5,English,2021
327,Chopsticks,Comedy,2019-05-31,100,6.5,Hindi,2019
329,Dolly Parton: A MusiCares Tribute,Documentary,2021-04-07,55,6.5,English,2021
332,His House,Thriller,2020-10-30,93,6.5,English,2020
334,Life Overtakes Me,Documentary,2019-06-14,40,6.5,English/Swedish,2019
335,Lust Stories,Drama,2018-06-15,120,6.5,Hindi,2018
336,Monster,Drama,2021-05-07,98,6.5,English,2021
338,Nobody Knows I'm Here,Drama,2020-06-24,91,6.5,Spanish,2020
339,Nobody Speak: Trials of the Free Press,Documentary,2017-06-23,95,6.5,English,2017
341,Set It Up,Romantic comedy,2018-06-15,105,6.5,English,2018
342,The Incredible Jessica James,Comedy,2017-07-28,83,6.5,English,2017
343,Tigertail,Drama,2020-04-10,91,6.5,English/Taiwanese/Mandarin,2020
348,Bulbbul,Horror,2020-06-24,94,6.6,Hindi,2020
349,Crazy About Her,Romantic comedy,2021-02-26,102,6.6,Spanish,2021
351,I'll Sleep When I'm Dead,Documentary,2016-08-19,79,6.6,English,2016
353,It Takes a Lunatic,Documentary,2019-10-25,126,6.6,English,2019
354,Milestone,Drama,2021-05-07,98,6.6,Hindi,2021
355,Recovery Boys,Documentary,2018-06-29,89,6.6,English,2018
356,ReMastered: Who Killed Jam Master Jay?,Documentary,2018-12-07,58,6.6,English,2018
357,Shawn Mendes: In Wonder,Documentary,2020-11-23,83,6.6,English,2020
359,The American Meme,Documentary,2018-12-07,98,6.6,English,2018
361,The Crimes That Bind,Crime drama,2020-08-20,99,6.6,Spanish,2020
363,What Would Sophia Loren Do?,Documentary,2021-01-15,32,6.6,English,2021
365,Ajeeb Daastaans,Drama,2021-04-16,142,6.7,Hindi,2021
367,"Bikram: Yogi, Guru, Predator",Documentary,2019-11-20,86,6.7,English,2019
369,Blue Miracle,Drama,2021-05-27,95,6.7,English,2021
370,CounterPunch ,Documentary,2017-06-16,91,6.7,English,2017
371,"Crack: Cocaine, Corruption & Conspiracy",Documentary,2021-01-11,89,6.7,English,2021
372,Extraction,Action,2020-04-24,117,6.7,English,2020
373,Giving Voice,Documentary,2020-12-11,90,6.7,English,2020
374,Hillbilly Elegy,Drama,2020-11-24,117,6.7,English,2020
375,Hope Frozen: A Quest to Live Twice,Documentary,2020-09-15,80,6.7,Thia/English,2020
376,Imperial Dreams,Drama,2017-02-03,87,6.7,English,2017
377,Just Another Christmas,Comedy,2020-12-03,101,6.7,Portuguese,2020
378,Little Miss Sumo,Documentary,2019-10-28,19,6.7,Japanese,2019
381,Moxie,Drama,2021-03-03,111,6.7,English,2021
382,Night in Paradise,Drama,2021-04-09,132,6.7,Korean,2021
383,Paper Lives,Drama,2021-03-12,97,6.7,Turkish,2021
384,Parchis: The Documentary,Documentary,2019-07-10,106,6.7,Spanish,2019
385,Tallulah,Comedy-drama,2016-07-29,111,6.7,English,2016
387,Tony Robbins: I Am Not Your Guru,Documentary,2016-07-15,116,6.7,English,2016
388,Upstarts,Drama,2019-10-18,112,6.7,Hindi,2019
389,22 July,Drama,2018-10-10,144,6.8,English,2018
390,7 años,Drama,2016-10-28,76,6.8,Spanish,2016
392,A Life of Speed: The Juan Manuel Fangio Story,Documentary,2020-03-20,92,6.8,Spanish,2020
393,A Love Song for Latasha,Documentary,2020-09-21,19,6.8,English,2020
394,All in My Family,Documentary,2019-05-03,39,6.8,English/Mandarin,2019
395,Always Be My Maybe,Romantic comedy,2019-05-31,102,6.8,English,2019
396,Becoming,Documentary,2020-05-06,89,6.8,English,2020
397,Long Live Brij Mohan,Comedy,2018-08-03,105,6.8,Hindi,2018
398,Calibre,Thriller,2018-06-29,101,6.8,English,2018
399,Death to 2020,Comedy,2020-12-27,70,6.8,English,2020
400,GIMS: On the Record,Documentary,2020-09-17,96,6.8,French,2020
401,Have a Good Trip: Adventures in Psychedelics,Documentary,2020-05-11,85,6.8,English,2020
402,Heroin(e) ,Documentary,2017-09-12,39,6.8,English,2017
403,Mercury 13,Documentary,2018-04-20,79,6.8,English,2018
404,Saving Capitalism,Documentary,2017-11-21,73,6.8,English,2017
405,Serious Men,Drama,2020-10-02,114,6.8,Hindi,2020
406,The Boys in the Band,Drama,2020-09-30,121,6.8,English,2020
408,The Life Ahead,Drama,2020-11-13,95,6.8,Italian,2020
409,The Other Side of the Wind,Drama,2018-11-02,122,6.8,English,2018
410,The Trader,Documentary,2018-02-09,23,6.8,Georgian,2018
411,To the Bone,Drama,2017-07-14,107,6.8,English,2017
412,Tony Parker: The Final Shot,Documentary,2021-01-06,98,6.8,French,2021
413,AK vs AK,Thriller,2020-12-24,108,6.9,Hindi,2020
414,Amanda Knox,Documentary,2016-09-30,92,6.9,English,2016
415,Bigflo & Oil: Hip Hop Frenzy,Documentary,2020-10-08,100,6.9,French,2020
416,Biggie: I Got a Story to Tell,Documentary,2021-03-01,97,6.9,English,2021
418,I Don't Feel at Home in This World Anymore,Drama,2017-02-24,96,6.9,English,2017
419,Laerte-se,Documentary,2017-05-19,100,6.9,Portuguese,2017
420,Mank,Biopic,2020-12-04,132,6.9,English,2020
423,Pagglait,Comedy-drama,2021-03-26,114,6.9,Hindi,2021
424,ReMastered: Who Shot the Sheriff?,Documentary,2018-10-12,57,6.9,English,2018
425,Seeing Allred,Documentary,2018-02-09,95,6.9,English,2018
426,Spelling the Dream,Documentary,2020-06-03,83,6.9,English,2020
427,The Claudia Kishi Club,Documentary,2020-07-10,17,6.9,English,2020
429,The Highwaymen,Crime drama,2019-03-29,131,6.9,English,2019
431,The Meyerowitz Stories (New and Selected),Comedy-drama,2017-10-13,112,6.9,English,2017
432,Feminists: What Were They Thinking?,Documentary,2018-10-12,86,7.0,English,2018
433,Gaga: Five Foot Two,Documentary,2017-09-22,100,7.0,English,2017
435,Kingdom of Us,Documentary,2017-10-13,109,7.0,English,2017
436,"Lorena, Light-Footed Woman",Documentary,2019-11-20,28,7.0,Spanish,2019
437,Los Tigres del Norte at Folsom Prison,Documentary,2019-09-15,64,7.0,Spanish,2019
438,Ma Rainey's Black Bottom,Drama,2020-12-18,94,7.0,English,2020
